host_id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
57237,"Girona, Spain",within a few hours,100%,83%,f,1,2,t,t,41.99517,2.83667,Private room in condo,Private room,2,1,1,1,50,2,1125,1,2,1125,1125,2,1125,t,23,53,83,318,73,9,1,5,5,5,5,5,5,5,f,1,0,1,0,0
201228,"Barcelona, Spain",within an hour,100%,100%,t,1,2,t,t,41.95586,3.21224,Entire rental unit,Entire home/apt,4,1,1,2,89,1,730,1,2,1125,1125,1,1125,t,28,58,87,334,428,24,0,5,5,5,5,5,5,5,t,1,1,0,0,3
220145,"Barcelona, Spain",within an hour,93%,89%,f,1,2,t,t,42.17604,3.03782,Entire home,Entire home/apt,8,2,4,7,160,14,60,14,14,60,60,14,60,t,0,0,0,72,40,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0
420443,"Barcelona, Spain",within an hour,93%,89%,f,2,2,t,t,42.17358,3.04519,Entire cottage,Entire home/apt,6,2,3,4,311,6,30,6,6,30,30,6,30,t,0,0,0,0,0,0,0,5,5,5,5,5,5,4,f,1,1,0,0,1
477826,"Barcelona, Spain",within an hour,93%,50%,f,1,6,t,t,42.10405,3.14936,Entire home,Entire home/apt,7,2,3,5,173,2,365,2,2,365,365,2,365,t,28,58,88,88,1,1,0,5,5,5,5,5,5,5,f,1,1,0,0,0
532063,"Lloret de Mar, Spain",within an hour,100%,100%,f,1,1,t,t,41.70754,2.88858,Entire villa,Entire home/apt,16,4,4,12,1138,2,30,1,5,365,365,2,365,t,22,52,82,312,26,1,0,5,5,5,5,5,5,5,t,1,1,0,0,0
553059,"Llagostera, Spain",within a few hours,100%,46%,t,4,10,t,t,41.83841,2.93856,Farm stay,Entire home/apt,15,4,4,12,357,1,365,1,1,365,365,1,365,t,24,52,82,335,31,4,0,5,5,5,5,5,5,4,f,4,4,0,0,0
611063,"Barcelona, Spain",within an hour,100%,100%,t,1,1,t,t,42.01023,3.19079,Entire home,Entire home/apt,4,1,2,4,88,5,30,5,5,1125,1125,5,1125,t,30,60,90,300,76,14,0,5,5,4,5,5,5,4,f,1,1,0,0,1
3964191,"Lloret de Mar, Spain",within an hour,100%,98%,t,7,7,t,t,41.7168,2.86432,Entire home,Entire home/apt,6,1,3,4,65,5,364,4,5,1125,1125,5,1125,t,0,0,0,141,93,4,0,5,5,5,5,5,5,5,f,6,6,0,0,1
4043268,"Paris, France",within a day,80%,56%,t,2,2,t,t,41.9618,3.22489,Entire home,Entire home/apt,12,3,5,12,498,5,30,5,5,30,30,5,30,t,29,59,89,274,29,4,0,5,5,4,5,5,5,5,f,2,2,0,0,0
4073860,"Queixans, Spain",within an hour,93%,89%,f,2,3,t,t,42.39611,1.91888,Entire townhouse,Entire home/apt,6,3,3,6,140,30,31,30,30,31,31,30,31,t,23,53,83,263,0,0,0,5,5,5,5,5,5,4,f,1,1,0,0,1
1023612,"RupiÃ , Spain",within an hour,93%,44%,f,2,3,t,t,42.01708,3.01064,Entire guesthouse,Entire home/apt,3,1,1,4,160,5,30,5,5,30,30,5,30,t,0,0,0,78,36,1,0,5,5,5,5,5,5,5,f,2,2,0,0,0
4192751,"Barcelona, Spain",within an hour,93%,90%,f,1,1,t,t,41.84256,3.09245,Entire townhouse,Entire home/apt,7,1,3,6,249,2,365,2,2,365,365,2,365,t,29,59,89,364,31,5,0,4,5,4,5,5,5,4,f,1,1,0,0,0
4208003,"Albons, Spain",within an hour,100%,94%,t,31,75,t,t,42.10369,3.0823,Entire rental unit,Entire home/apt,6,0,3,5,131,1,365,7,7,999,999,7,999,t,0,0,0,174,6,0,0,5,5,5,5,5,5,5,t,29,29,0,0,0
4208003,"Albons, Spain",within an hour,100%,94%,t,31,75,t,t,42.10369,3.0823,Entire rental unit,Entire home/apt,4,2,2,4,311,1,365,31,31,999,999,31,999,t,0,0,0,0,5,0,0,5,5,5,5,5,4,5,t,29,29,0,0,0
4261656,"Catalonia, Spain",within a day,100%,100%,f,1,1,t,t,42.24734,3.1973,Entire rental unit,Entire home/apt,4,1,2,3,117,3,1125,3,7,3,1125,3,799,t,23,53,83,234,101,8,0,5,5,4,5,5,5,4,t,1,1,0,0,1
4320039,"Girona, Spain",within an hour,100%,98%,t,4,4,t,t,41.66193,2.78325,Entire rental unit,Entire home/apt,5,1,2,4,168,2,1125,2,5,30,30,3,30,t,30,60,90,365,132,21,0,5,5,5,5,5,5,5,t,4,4,0,0,1
553059,"Llagostera, Spain",within a few hours,100%,46%,t,4,10,t,t,41.84007,2.94776,Farm stay,Entire home/apt,16,7,6,16,629,1,300,1,1,300,300,1,300,t,25,51,81,345,34,4,1,5,5,5,5,5,5,5,f,4,4,0,0,0
553059,"Llagostera, Spain",within a few hours,100%,46%,t,4,10,t,t,41.84115,2.95071,Farm stay,Entire home/apt,4,1,1,4,120,1,1125,1,7,1125,1125,2,1125,t,27,57,87,356,53,9,0,5,5,5,5,5,5,5,f,4,4,0,0,0
646551,,within an hour,100%,100%,f,1,2,t,t,41.82211,2.71769,Entire home,Entire home/apt,8,3,4,5,321,2,30,2,2,1125,1125,2,1125,t,0,28,58,333,12,0,0,4,5,4,5,5,4,4,t,1,1,0,0,0
804674,"Barcelona, Spain",within an hour,100%,100%,f,1,1,t,t,42.12541,2.93686,Entire chalet,Entire home/apt,9,3,5,8,50,7,31,7,7,1125,1125,7,1125,t,0,0,0,17,20,3,0,5,5,5,5,5,5,5,f,1,1,0,0,0
1023612,"RupiÃ , Spain",within an hour,93%,44%,f,2,3,t,t,42.01746368,3.010178089,Entire guesthouse,Entire home/apt,3,1,1,3,150,5,30,5,5,30,30,5,30,t,0,0,0,172,14,0,0,5,5,5,5,5,5,5,f,2,2,0,0,0
1090843,"Centenys, Spain",within an hour,100%,50%,f,1,1,t,t,42.16912,2.78186,Entire cottage,Entire home/apt,6,2,3,4,157,2,30,2,2,30,30,2,30,t,26,50,80,306,78,3,0,5,5,5,5,5,5,5,f,1,1,0,0,1
1379849,,within a day,50%,89%,f,1,3,t,t,41.92025,3.21381,Entire rental unit,Entire home/apt,10,4,6,9,600,7,500,7,7,1125,1125,7,1125,t,28,58,88,268,41,0,0,5,5,5,5,5,5,4,t,1,1,0,0,0
4393990,"Girona, Spain",a few days or more,0%,89%,f,1,1,t,f,41.9817,3.16882,Entire home,Entire home/apt,4,1,3,3,129,7,1125,7,7,1125,1125,7,1125,t,23,53,83,358,2,0,0,4,4,3,5,5,4,3,f,1,1,0,0,0
4412627,"CamÃ³s, Spain",within an hour,90%,91%,f,2,2,t,t,42.1151,2.75687,Entire townhouse,Entire home/apt,8,2,4,8,163,2,1125,2,2,1125,1125,2,1125,t,26,50,73,299,43,7,2,5,5,4,5,5,5,4,f,2,2,0,0,0
4282861,,within a few hours,100%,87%,t,1,1,t,t,42.02797,3.07338,Entire townhouse,Entire home/apt,7,2,3,5,130,2,1125,2,7,1125,1125,2,1125,t,28,58,88,334,195,17,1,5,5,5,5,5,5,5,f,1,1,0,0,1
1373228,"Catalonia, Spain",within an hour,100%,99%,f,6,9,t,t,42.33747,2.45288,Entire cottage,Entire home/apt,8,1,3,7,226,2,1125,2,5,5,1125,2,1003,t,28,58,88,242,42,11,0,4,5,5,5,5,5,4,t,6,6,0,0,0
4544518,Spain,within an hour,93%,89%,f,1,1,t,t,41.97729,3.20632,Entire condo,Entire home/apt,4,2,2,2,200,2,30,2,7,30,30,3,30,t,23,53,83,327,5,0,0,5,4,5,5,5,5,4,f,1,1,0,0,0
12346740,"PalamÃ³s, Spain",within an hour,100%,100%,f,57,69,t,t,41.85600662,3.141983986,Entire rental unit,Entire home/apt,8,2,3,7,249,1,365,3,7,365,365,4,365,t,25,55,85,288,7,0,0,5,5,5,5,5,5,4,t,53,53,0,0,0
4652235,"Barcelona, Spain",within an hour,93%,100%,f,1,1,t,t,41.69688,2.82588,Entire condo,Entire home/apt,5,2,3,3,210,7,360,7,7,360,360,7,360,t,29,59,89,364,21,0,0,5,5,5,5,5,4,5,f,1,1,0,0,0
4734897,"Barcelona, Spain",within an hour,100%,86%,f,1,1,t,t,41.99241,3.12408,Entire villa,Entire home/apt,5,2,3,4,495,7,31,7,7,31,31,7,31,t,23,53,71,307,28,5,0,5,5,5,5,5,5,5,f,1,1,0,0,0
4412627,"CamÃ³s, Spain",within an hour,90%,91%,f,2,2,t,t,42.07192,2.78614,Entire cottage,Entire home/apt,16,8,7,21,553,2,1125,2,2,1125,1125,2,1125,t,27,57,87,309,58,12,1,5,5,5,5,5,5,5,f,2,2,0,0,0
553059,"Llagostera, Spain",within a few hours,100%,46%,t,4,10,t,t,41.84349,2.95241,Farm stay,Entire home/apt,8,3,3,5,166,1,60,2,2,60,60,2,60,t,29,59,89,358,25,3,0,5,4,5,5,5,5,5,f,4,4,0,0,0
4597849,"Barcelona, Spain",within a few hours,100%,73%,t,2,2,t,t,41.80206,3.04137,Entire rental unit,Entire home/apt,3,1,2,3,60,5,45,5,6,45,45,5,45,t,0,29,59,289,58,9,0,5,5,5,5,5,5,5,f,1,1,0,0,0
1393119,"Capmany, Spain",within a few hours,100%,98%,t,8,8,t,t,42.37355,2.92054,Entire rental unit,Entire home/apt,6,2,3,5,231,7,14,2,7,30,30,4,30,t,21,51,75,312,70,13,0,5,5,5,5,5,5,5,f,8,5,0,0,1
1428767,"Palafrugell, Spain",within a day,100%,93%,t,1,2,t,t,41.91011,3.15566,Entire home,Entire home/apt,2,1,1,1,85,2,30,2,2,30,30,2,30,t,30,60,90,365,101,11,0,5,5,5,5,5,4,5,f,1,1,0,0,1
1455476,"Barcelona, Spain",within an hour,100%,100%,f,1,1,t,t,41.86124,3.14769,Entire rental unit,Entire home/apt,4,1,1,2,91,2,31,2,2,1125,1125,2,1125,t,23,53,83,98,116,15,1,5,5,5,5,5,5,5,f,1,1,0,0,1
1488322,"Gerona, Spain",within an hour,100%,100%,t,1,1,t,t,41.9858756,2.8247884,Entire loft,Entire home/apt,4,1,1,3,60,3,1125,3,3,1125,1125,3,1125,t,5,19,38,98,293,30,1,5,5,5,5,5,5,5,t,1,1,0,0,2
153805,"Santa Cristina d'Aro, Spain",within an hour,100%,83%,f,2,2,t,t,41.98964,2.82356,Entire rental unit,Entire home/apt,5,1,2,4,80,5,180,5,5,180,180,5,180,t,0,0,0,179,119,8,1,5,5,5,5,5,5,5,f,2,2,0,0,1
4903781,"Reichelsheim, Germany",within an hour,100%,100%,t,3,3,t,t,41.97442,2.82248,Entire rental unit,Entire home/apt,5,2,3,4,311,3,90,3,3,1125,1125,3,1125,t,0,0,0,0,208,20,0,5,5,5,5,5,5,5,t,2,2,0,0,1
4989432,"Girona, Spain",within an hour,100%,72%,f,1,1,t,t,42.2128,2.68602,Entire cottage,Entire home/apt,16,2,5,8,499,2,1125,2,7,1125,1125,3,1125,t,26,53,81,316,33,8,0,5,5,5,5,5,5,5,f,1,1,0,0,0
5007417,,within a day,60%,15%,f,4,4,t,t,42.05628,3.19935,Entire home,Entire home/apt,12,4,5,10,215,2,120,2,2,120,120,2,120,t,0,1,1,209,41,5,0,5,5,4,5,5,5,5,f,4,4,0,0,0
5010327,"Barcelona, Spain",within a day,100%,46%,f,1,3,t,t,41.89301,3.18716,Entire condo,Entire home/apt,4,1,2,4,160,5,60,5,5,60,60,5,60,t,29,59,89,325,57,3,0,5,5,5,5,5,5,5,f,1,1,0,0,0
4673797,"Barcelona, Spain",within a day,100%,89%,f,1,1,t,t,41.84072,3.09499,Entire townhouse,Entire home/apt,6,2,3,5,250,10,91,10,10,91,91,10,91,t,0,0,0,275,3,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0
5043625,"Barcelona, Spain",a few days or more,0%,0%,f,1,3,t,t,41.71621,2.87006,Entire home,Entire home/apt,6,4,4,4,400,5,30,5,5,30,30,5,30,t,0,30,60,321,25,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0
5074486,"Roses, Spain",within an hour,100%,100%,f,3,3,t,t,42.24644,3.19747,Entire rental unit,Entire home/apt,4,1,2,3,125,7,365,7,7,365,365,7,365,t,26,56,86,284,37,11,0,5,5,5,5,5,5,5,t,2,2,0,0,1
5007417,,within a day,60%,15%,f,4,4,t,t,41.94509,3.0724,Entire villa,Entire home/apt,16,8,8,12,350,2,1125,2,2,1125,1125,2,1125,t,28,58,88,321,15,0,0,4,4,4,4,4,4,4,f,4,4,0,0,0
5091558,"Roses, Spain",within a few hours,100%,85%,f,15,16,t,t,42.27005,3.1384,Entire rental unit,Entire home/apt,4,2,1,4,311,7,28,7,7,28,28,7,28,t,0,0,0,0,32,3,0,5,5,5,5,5,4,5,f,15,15,0,0,0
2509034,"Lloret de Mar, Spain",within an hour,93%,100%,f,2,5,t,t,41.70633,2.87767,Entire rental unit,Entire home/apt,4,1,1,3,120,4,30,4,4,1125,1125,4,1125,t,0,0,0,245,13,0,0,5,5,5,5,5,5,5,t,2,2,0,0,0
1554685,"Lausanne, Switzerland",within a few hours,100%,94%,t,1,1,t,t,41.7132,2.85667,Entire villa,Entire home/apt,16,6,9,17,1100,2,28,2,7,1125,1125,3,1125,t,29,59,89,335,21,8,0,4,4,4,5,5,5,4,f,1,1,0,0,0
1711073,"Park City, UT",within an hour,100%,97%,f,2,2,t,t,41.97516,2.82959,Entire rental unit,Entire home/apt,4,1,2,2,105,2,1125,2,2,1125,1125,2,1125,t,26,56,86,347,46,6,0,4,4,4,5,5,4,4,f,1,1,0,0,0
725885,"Girona, Spain",within an hour,100%,100%,f,1,1,t,t,41.98876,2.83008,Entire rental unit,Entire home/apt,2,2,1,4,311,4,28,4,4,28,28,4,28,t,0,0,12,89,159,9,0,5,5,5,5,5,5,5,t,1,1,0,0,1
